Year,Top Words
1853,"['bill', 'might', 'church', 'great', 'country', 'question', 'thought', 'present', 'friend', 'gentleman']"
1854,"['country', 'bill', 'great', 'might', 'men', 'time', 'present', 'measure', 'war', 'gentleman']"
1855,"['army', 'law', 'bill', 'great', 'might', 'country', 'present', 'thought', 'officers', 'man']"
1856,"['bill', 'great', 'law', 'right', 'might', 'present', 'church', 'country', 'question', 'case']"
1857,"['bill', 'law', 'might', 'learned', 'court', 'lordships', 'friend', 'question', 'great', 'subject']"
1858,"['bill', 'india', 'might', 'question', 'great', 'member', 'right', 'members', 'law', 'time']"
1859,"['church', 'might', 'court', 'great', 'committee', 'subject', 'bill', 'question', 'system', 'rates']"
1862,"['country', 'great', 'right', 'schools', 'might', 'year', 'bill', 'gentleman', 'present', 'system']"
1863,"['right', 'ireland', 'great', 'country', 'might', 'bill', 'member', 'gentleman', 'question', 'time']"
1864,"['right', 'might', 'gentleman', 'great', 'bill', 'duty', 'malt', 'question', 'country', 'system']"
1865,"['ireland', 'right', 'gentleman', 'country', 'great', 'year', 'might', 'committee', 'member', 'time']"
1866,"['bill', 'right', 'question', 'member', 'might', 'great', 'gentleman', 'working', 'present', 'time']"
1867,"['bill', 'right', 'question', 'gentleman', 'member', 'might', 'great', 'country', 'time', 'present']"
1868,"['might', 'member', 'great', 'system', 'army', 'bill', 'question', 'time', 'country', 'present']"
1869,"['bill', 'right', 'great', 'might', 'question', 'church', 'time', 'present', 'friend', 'gentleman']"
1870,"['bill', 'might', 'right', 'question', 'great', 'member', '``', 'time', 'law', 'country']"
1871,"['right', 'gentleman', 'country', 'might', 'great', 'bill', 'member', 'time', 'question', 'meeting']"
1872,"['bill', 'member', 'might', 'great', 'question', 'right', 'friend', 'country', 'committee', 'act']"
1873,"['bill', 'might', 'member', 'right', 'law', 'question', 'great', 'committee', 'friend', 'country']"
1876,"['bill', 'question', 'country', 'might', 'say', 'great', 'member', 'acts', '``', 'law']"
1877,"['bill', 'might', 'member', 'great', 'question', 'time', 'country', 'ireland', '``', 'present']"
1878,"['bill', 'member', 'women', 'question', 'great', 'law', 'ireland', 'right', 'might', 'country']"
1879,"['bill', 'member', 'committee', 'question', 'university', 'might', 'members', 'time', 'present', 'right']"
1880,"['bill', 'question', 'might', 'member', 'great', 'country', 'time', 'ireland', 'right', 'present']"
1881,"['bill', 'ireland', 'member', 'emigration', 'commission', 'irish', 'right', 'might', 'gentleman', 'members']"
1882,"['right', 'gentleman', 'ireland', 'member', 'land', 'act', '``', 'might', 'bill', 'question']"
1883,"['member', 'question', 'ireland', 'might', 'right', 'gentleman', 'time', 'say', 'bill', 'great']"
1884,"['member', 'ireland', 'general', 'gentleman', 'bill', 'right', 'question', 'country', 'time', 'say']"
1885,"['bill', 'member', 'clause', 'might', 'gentleman', 'right', 'law', 'case', 'question', 'time']"
1886,"['ireland', 'bill', 'member', 'irish', 'right', 'gentleman', 'question', 'say', 'time', 'country']"
1887,"['member', 'bill', 'ireland', 'right', 'gentleman', 'question', '``', 'say', 'time', 'country']"
1888,"['gentleman', 'member', 'right', 'case', 'ireland', 'bill', 'might', 'question', 'public', 'police']"
1889,"['right', 'gentleman', 'think', 'member', 'say', 'bill', 'question', 'ireland', '``', 'case']"
1890,"['bill', 'think', 'law', 'member', 'right', 'gentleman', 'question', 'case', 'say', 'great']"
1891,"['sunday', 'right', 'bill', 'member', 'question', 'think', 'gentleman', 'great', 'men', 'public']"
1892,"['right', 'bill', 'gentleman', 'member', 'ireland', 'say', 'think', 'law', 'question', 'case']"
1893,"['bill', 'hours', 'member', 'right', 'gentleman', 'men', 'question', 'work', 'great', 'miners']"
1894,"['bill', 'right', 'gentleman', 'member', 'question', 'case', 'might', 'clause', 'amendment', 'time']"
1895,"['bill', 'right', 'church', 'member', 'gentleman', 'great', 'committee', 'might', 'question', 'time']"
1896,"['bill', '``', 'member', 'hear', 'right', 'ireland', 'schools', 'education', 'gentleman', 'question']"
1897,"['bill', 'hear', '``', 'question', 'board', 'member', 'right', 'gentleman', 'great', 'local']"
1898,"['bill', 'think', 'right', 'member', 'question', 'honourable', 'law', 'say', 'amendment', 'gentleman']"
1899,"['bill', 'member', 'war', 'right', 'think', 'gentleman', 'question', 'amendment', 'great', 'say']"
1900,"['bill', 'member', 'right', 'question', 'war', 'gentleman', 'think', 'country', 'great', 'time']"
1901,"['bill', 'great', 'member', 'question', 'think', 'horses', 'country', 'war', 'say', 'time']"
1902,"['bill', 'right', 'gentleman', 'member', 'members', 'education', 'amendment', 'question', 'time', 'local']"
1903,"['bill', 'education', 'member', 'schools', 'children', 'question', 'great', 'board', 'country', 'school']"
1904,"['right', 'case', 'gentleman', 'question', 'member', 'ireland', 'country', 'chief', 'labour', 'matter']"
1905,"['bill', 'board', 'question', 'think', 'great', 'member', 'say', 'right', 'country', 'trade']"
1906,"['bill', 'right', 'question', 'great', 'time', 'gentleman', 'member', 'might', 'amendment', 'country']"
1907,"['bill', 'right', 'member', 'question', 'gentleman', 'might', 'great', 'country', 'committee', 'law']"
1908,"['bill', 'clause', 'member', 'might', 'question', 'sunday', 'right', 'time', 'gentleman', 'case']"
1909,"['bill', 'think', 'time', 'country', 'say', 'great', 'question', 'right', 'member', '``']"
1910,"['question', 'think', 'country', 'say', 'time', 'great', 'board', 'right', 'bill', 'member']"
1911,"['bill', 'think', 'question', 'right', 'say', 'member', 'time', 'board', 'gentleman', 'country']"
1912,"['bill', 'member', 'right', 'question', 'gentleman', 'think', 'say', 'matter', 'act', 'ireland']"
1913,"['bill', 'think', 'right', 'question', 'member', 'say', 'gentleman', 'great', 'case', 'time']"
1914,"['war', 'question', 'country', 'say', 'member', 'think', 'case', 'right', 'men', 'great']"
1916,"['war', 'think', 'bill', 'say', 'friend', 'men', 'time', 'great', 'question', 'country']"
1917,"['bill', 'think', 'country', 'war', 'say', 'time', 'great', 'men', 'question', 'us']"
1918,"['think', 'right', 'bill', 'war', 'question', 'say', 'country', 'friend', 'men', 'time']"
1919,"['war', 'question', 'men', 'right', 'bill', 'friend', 'think', 'country', 'say', 'committee']"
1920,"['bill', 'think', 'say', 'lordships', 'question', 'time', 'ireland', 'great', 'country', '``']"
1921,"['bill', 'think', 'committee', 'lordships', 'time', 'minister', 'say', 'great', 'matter', '``']"
1922,"['question', 'men', 'bill', 'think', 'say', 'country', 'right', 'ireland', 'time', 'member']"
1923,"['bill', 'think', 'question', 'country', 'lordships', 'say', 'case', 'time', 'great', 'right']"
1924,"['bill', 'think', 'say', 'question', 'time', 'right', 'great', 'country', 'matter', 'member']"
1925,"['think', 'bill', 'question', 'say', 'time', 'great', 'country', 'right', 'matter', 'committee']"
1926,"['bill', 'member', 'right', 'think', 'say', 'men', '``', 'country', 'minister', 'question']"
1927,"['bill', 'think', 'member', 'right', 'say', 'question', 'country', 'time', 'great', '``']"
1928,"['think', 'bill', 'right', 'member', 'question', 'say', 'time', 'great', 'matter', 'country']"
1930,"['right', 'member', 'question', 'bill', 'country', 'say', 'gentleman', 'minister', 'think', 'india']"
1931,"['bill', 'right', 'country', 'member', 'think', 'say', 'question', 'minister', '``', 'time']"
1932,"['bill', 'country', 'member', 'question', 'think', 'right', 'say', 'time', 'great', 'gentleman']"
1933,"['right', 'country', 'member', 'minister', 'say', 'time', 'gentleman', 'think', 'question', 'bill']"
1934,"['bill', 'member', 'right', 'question', 'think', 'say', 'country', 'minister', 'time', 'friend']"
1935,"['member', 'right', 'bill', 'think', 'committee', 'question', 'country', 'say', 'matter', 'minister']"
1936,"['member', 'right', 'question', 'country', 'think', 'minister', 'say', 'bill', 'time', 'gentleman']"
1937,"['bill', 'member', 'right', 'think', 'question', 'time', 'country', 'say', 'committee', 'minister']"
1938,"['member', 'bill', 'right', 'minister', 'think', 'question', 'country', 'committee', 'time', 'say']"
1939,"['country', 'war', 'right', 'think', 'minister', 'time', 'bill', 'member', 'say', 'question']"
1940,"['minister', 'war', 'right', 'question', 'friend', 'member', 'country', 'time', 'think', 'matter']"
1941,"['war', 'friend', 'minister', 'right', 'men', 'think', 'time', 'country', 'member', 'question']"
1942,"['war', 'friend', 'minister', 'right', 'question', 'think', 'matter', 'time', 'say', 'service']"
1943,"['friend', 'war', 'right', 'minister', 'think', 'question', 'time', 'service', 'bill', 'say']"
1944,"['war', 'minister', 'friend', 'right', 'think', 'country', 'member', 'bill', 'say', 'time']"
1945,"['war', 'right', 'minister', 'think', 'country', 'friend', 'say', 'time', 'member', 'question']"
1946,"['minister', 'think', 'time', 'say', 'war', 'country', 'right', '``', 'great', 'member']"
1947,"['minister', 'right', 'think', 'country', 'member', 'say', 'time', '``', 'bill', 'friend']"
1948,"['right', 'time', 'think', 'say', 'country', 'member', 'bill', '``', 'minister', 'great']"
1949,"['bill', 'right', 'think', 'member', 'minister', 'time', 'say', 'friend', 'matter', '``']"
1950,"['member', 'right', 'think', 'minister', 'say', 'time', '``', 'country', 'friend', 'great']"
1951,"['right', 'minister', 'think', 'time', 'member', 'say', 'matter', 'friend', '``', 'gentleman']"
1952,"['right', 'minister', 'member', 'think', 'gentleman', 'friend', 'time', 'country', 'say', 'matter']"
1953,"['member', 'right', 'think', 'say', 'time', 'friend', 'minister', '``', 'gentleman', 'matter']"
1954,"['right', 'minister', 'think', 'member', 'friend', 'say', 'time', 'bill', 'gentleman', 'matter']"
1955,"['right', 'minister', 'think', 'member', 'time', 'friend', 'say', 'matter', 'country', 'much']"
1956,"['right', 'member', 'minister', 'think', 'time', 'friend', 'say', 'matter', 'members', 'question']"
1957,"['right', 'friend', 'think', 'member', 'minister', 'time', 'say', 'country', 'years', 'bill']"
1958,"['right', 'minister', 'friend', 'think', 'member', 'time', 'say', 'gentleman', 'matter', 'years']"
1959,"['minister', 'right', 'friend', 'bill', 'member', 'think', 'new', 'local', 'time', 'say']"
1960,"['right', 'minister', 'friend', 'think', 'member', 'bill', 'say', 'time', 'committee', 'question']"
1961,"['minister', 'friend', 'member', 'bill', 'right', 'think', 'new', 'local', 'time', 'years']"
1962,"['minister', 'right', 'think', 'friend', 'member', 'time', 'bill', 'say', 'years', 'matter']"
1963,"['minister', 'right', 'friend', 'think', 'member', 'time', 'say', 'years', 'local', 'bill']"
1964,"['right', 'minister', 'friend', 'think', 'member', 'time', 'bill', 'say', 'new', 'years']"
1965,"['right', 'minister', 'friend', 'member', 'gentleman', 'think', 'time', 'say', 'years', 'must']"
1966,"['right', 'friend', 'minister', 'bill', 'member', 'think', 'time', 'say', 'must', '``']"
1967,"['right', 'friend', 'minister', 'think', 'time', 'say', 'member', '``', 'bill', 'years']"
1968,"['right', 'friend', 'bill', 'think', 'minister', 'local', 'time', 'member', 'say', '``']"
1969,"['friend', 'right', 'bill', 'member', 'think', 'time', 'say', '``', 'years', 'minister']"
1970,"['right', 'friend', 'member', 'bill', 'minister', 'local', 'years', '``', 'time', 'gentleman']"
1971,"['right', 'friend', 'member', 'time', 'think', 'say', 'local', '``', 'years', 'must']"
1972,"['right', 'friend', 'member', 'bill', 'time', 'think', 'local', 'minister', 'say', 'ireland']"
1973,"['right', 'friend', 'bill', 'think', 'time', 'member', 'local', 'minister', 'say', 'lords']"
1974,"['right', 'friend', 'member', 'services', 'bill', 'time', 'years', 'minister', 'social', 'local']"
1975,"['friend', 'right', 'bill', 'member', 'time', 'lords', 'industry', 'amendment', 'minister', 'think']"
1976,"['friend', 'member', 'right', 'bill', 'local', 'time', 'minister', 'new', 'years', 'must']"
1977,"['friend', 'right', 'member', 'bill', 'time', 'minister', 'think', 'say', 'must', 'lords']"
1978,"['friend', 'right', 'member', 'time', 'minister', 'think', 'years', 'matter', 'say', 'bill']"
1979,"['friend', 'right', 'bill', 'member', 'minister', 'time', 'members', 'years', 'shall', 'must']"
1980,"['friend', 'right', 'member', 'time', 'minister', 'bill', 'think', 'lords', 'local', 'say']"
1981,"['friend', 'right', 'member', 'local', 'minister', 'bill', 'time', 'must', 'years', 'say']"
1982,"['friend', 'right', 'minister', 'bill', 'time', 'member', 'lords', 'new', 'years', 'per']"
1983,"['friend', 'right', 'minister', 'member', 'bill', 'services', 'years', 'health', 'time', 'per']"
1984,"['friend', 'right', 'minister', '·', 'services', 'member', 'local', 'department', 'years', 'number']"
1985,"['friend', 'right', 'minister', 'member', 'bill', 'services', 'time', 'year', 'years', 'department']"
1986,"['friend', 'right', 'bill', 'minister', 'member', '·', 'time', 'new', 'services', 'department']"
1987,"['friend', 'health', 'right', 'member', 'minister', 'year', 'services', 'number', 'department', 'local']"
1988,"['friend', 'right', '·', 'minister', 'local', 'health', 'per', 'member', 'time', 'services']"
1989,"['·', 'friend', 'right', 'minister', 'health', 'bill', 'local', 'member', 'department', 'years']"
1990,"['friend', 'bill', 'right', 'member', 'minister', 'local', '·', 'health', 'lords', 'per']"
1991,"['friend', 'right', 'bill', 'health', 'local', 'per', 'minister', 'department', 'member', 'year']"
1992,"['friend', '·', 'right', 'health', 'minister', 'member', 'department', 'local', 'lords', 'also']"
1993,"['friend', 'right', '·', 'local', 'minister', 'health', 'member', 'united', 'department', 'information']"
1994,"['friend', 'health', 'member', 'bill', 'right', 'local', 'minister', 'department', 'years', 'time']"
1995,"['friend', 'bill', 'minister', 'right', 'member', 'department', '``', 'health', 'new', 'years']"
1996,"['department', 'health', 'friend', 'service', 'information', 'number', 'year', 'years', 'right', 'per']"
1997,"['friend', 'right', 'department', 'health', 'minister', 'new', 'member', 'year', 'years', 'per']"
1998,"['department', 'minister', 'new', 'friend', 'bill', 'right', '2', 'member', 'year', 'public']"
1999,"['friend', 'right', 'minister', 'bill', 'member', 'new', 'report', 'committee', 'department', 'year']"
2000,"['bill', 'minister', 'friend', 'right', 'new', 'local', 'information', 'member', 'also', 'service']"
2001,"['health', 'department', 'friend', 'local', 'bill', 'report', 'right', 'minister', 'also', 'new']"
2002,"['minister', 'friend', 'bill', 'right', 'also', 'new', 'health', 'amendment', '``', 'time']"
2003,"['minister', 'friend', 'right', 'health', 'bill', 'department', 'new', 'local', 'lords', 'also']"
2004,"['minister', 'bill', 'lords', 'health', 'friend', 'also', 'new', 'right', 'local', 'department']"
2006,[]
